Average Weekday Subway Ridership,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank,,
The Bronx,,,,,,,,,,,,,
"138 St-Grand Concourse (4,5)",1,Bx,"3,166","3,324","1,211","2,127","2,519","2,546",27,1.1%,336,,
"149 St-Grand Concourse (2,4,5)",,Bx,"13,081","12,960","5,814","5,873","6,600","6,789",189,2.9%,154,,
"161 St-Yankee Stadium (B,D,4)",,Bx,"26,034","25,642","10,112","12,374","15,230","16,043",813,5.3%,54,,
167 St (4),,Bx,"9,398","8,486","4,357","5,066","5,766","5,807",41,0.7%,175,,
"167 St (B,D)",2,Bx,"6,342","8,542","4,405","4,723","4,981","4,926",-55,-1.1%,206,,
170 St (4),,Bx,"8,140","7,926","3,983","4,039","4,702","4,495",-207,-4.4%,222,,
"170 St (B,D)",,Bx,"7,913","6,767","3,127","3,468","3,782","3,529",-253,-6.7%,280,,
"174 St (2,5)",,Bx,"6,751","6,644","3,051","3,437","3,731","3,664",-67,-1.8%,271,,
"174-175 Sts (B,D)",3,Bx,"3,221","4,869","2,496","2,727","2,921","2,746",-175,-6.0%,324,,
176 St (4),,Bx,"5,807","5,518","2,762","2,980","3,341","3,230",-111,-3.3%,290,,
"182-183 Sts (B,D)",,Bx,"4,752","4,773","2,377","2,535","2,925","2,893",-32,-1.1%,313,,
183 St (4),,Bx,"5,754","5,641","2,944","3,269","3,690","3,611",-79,-2.1%,275,,
"219 St (2,5)",,Bx,"3,335","3,232","1,478","1,570","1,719","1,584",-135,-7.9%,391,,
"225 St (2,5)",,Bx,"3,961","3,898","1,774","1,918","2,015","1,917",-98,-4.9%,365,,
231 St (1),,Bx,"10,287","9,658","4,184","4,786","5,872","6,165",293,5.0%,169,,
"233 St (2,5)",,Bx,"4,864","4,768","2,348","2,546","2,753","2,754",1,0.0%,322,,
238 St (1),4,Bx,"3,225","3,998","1,908","2,204","2,809","3,104",295,10.5%,298,,
3 Av-138 St (6),,Bx,"7,801","8,100","4,005","4,326","4,729","5,708",979,20.7%,177,,
"3 Av-149 St (2,5)",,Bx,"22,357","22,167","10,187","10,558","10,966","10,994",28,0.3%,89,,
"Allerton Av (2,5)",,Bx,"5,144","5,161","2,443","2,685","2,907","2,836",-71,-2.4%,315,,
Baychester Av (5),,Bx,"3,551","3,789","1,666","1,661","1,886","1,875",-11,-0.6%,371,,
"Bedford Park Blvd (B,D)",,Bx,"6,419","6,911","3,099","3,492","3,955","4,139",184,4.7%,242,,
Bedford Park Blvd-Lehman College (4),,Bx,"5,170","5,066","2,206","2,553","3,458","3,634",176,5.1%,273,,
"Bronx Park East (2,5)",,Bx,"2,498","2,526","1,166","1,352","1,552","1,516",-36,-2.3%,393,,
Brook Av (6),,Bx,"6,040","5,917","3,009","3,350","3,676","3,540",-136,-3.7%,279,,
Buhre Av (6),,Bx,"3,744","3,898","1,730","1,960","2,479","2,616",137,5.5%,329,,
"Burke Av (2,5)",,Bx,"3,234","3,250","1,561","1,700","1,802","1,755",-47,-2.6%,377,,
Burnside Av (4),,Bx,"10,231","9,964","4,629","5,076","5,696","5,773",77,1.4%,176,,
Castle Hill Av (6),,Bx,"6,483","6,435","3,037","3,402","3,946","3,619",-327,-8.3%,274,,
Cypress Av (6),,Bx,"3,651","3,462","1,649","1,718","1,876","1,643",-233,-12.4%,386,,
East 143 St-St Mary's St (6),,Bx,"1,019","1,085",567,688,902,890,-12,-1.4%,414,,
East 149 St (6),,Bx,"4,842","4,821","2,515","2,724","3,037","3,100",63,2.1%,299,,
"East 180 St (2,5)",,Bx,"7,175","7,089","3,479","3,829","4,629","5,459",830,17.9%,184,,
Eastchester-Dyre Av (5),,Bx,"4,506","4,672","2,168","2,300","2,542","2,576",34,1.4%,334,,
Elder Av (6),,Bx,"6,323","6,371","3,278","3,662","4,139","3,846",-293,-7.1%,260,,
Fordham Rd (4),,Bx,"10,395","9,796","4,857","5,666","6,257","6,716",459,7.3%,157,,
"Fordham Rd (B,D)",,Bx,"11,361","11,587","5,349","5,766","6,160","6,533",373,6.1%,160,,
"Freeman St (2,5)",,Bx,"4,451","4,387","2,048","2,373","2,755","2,690",-65,-2.4%,327,,
"Gun Hill Rd (2,5)",,Bx,"6,930","7,022","3,214","3,470","3,690","3,897",207,5.6%,255,,
Gun Hill Rd (5),5,Bx,"5,362","4,287","1,549","2,579","3,104","3,189",85,2.8%,294,,
Hunts Point Av (6),,Bx,"10,460","10,510","5,271","5,676","6,473","6,976",503,7.8%,150,,
"Intervale Av (2,5)",,Bx,"3,130","3,140","1,521","1,752","1,944","1,915",-29,-1.5%,366,,
"Jackson Av (2,5)",,Bx,"5,288","5,167","2,375","2,664","3,158","3,066",-92,-2.9%,303,,
Kingsbridge Rd (4),,Bx,"8,992","8,849","4,277","4,719","5,664","6,045",381,6.7%,171,,
"Kingsbridge Rd (B,D)",,Bx,"7,922","7,957","3,754","3,788","4,067","4,060",-7,-0.2%,246,,
Longwood Av (6),6,Bx,"3,395","3,168","1,267","1,859","2,270","2,258",-12,-0.5%,351,,
Middletown Rd (6),,Bx,"2,036","2,061",873,993,"1,257","1,416",159,12.7%,398,,
Morris Park (5),,Bx,"2,417","2,520","1,104","1,302","1,625","1,820",195,12.0%,375,,
Morrison Av-Soundview (6),,Bx,"6,361","6,341","3,173","3,537","4,004","3,930",-74,-1.8%,253,,
Mosholu Pkwy (4),,Bx,"8,195","8,074","4,070","4,585","5,226","5,394",168,3.2%,186,,
Mt Eden Av (4),,Bx,"5,337","5,009","2,625","2,890","3,138","3,106",-32,-1.0%,297,,
"Nereid Av (2,5)",,Bx,"3,437","3,394","1,558","1,757","1,957","1,948",-9,-0.5%,360,,
Norwood-205 St (D),7,Bx,"8,429","8,544","4,174","4,441","4,878","4,255",-623,-12.8%,233,,
Parkchester (6),,Bx,"15,660","15,427","7,028","7,754","9,065","10,497","1,432",15.8%,96,,
Pelham Bay Park (6),,Bx,"7,001","7,020","3,094","3,301","3,668","3,863",195,5.3%,257,,
"Pelham Pkwy (2,5)",,Bx,"8,472","8,463","3,915","4,473","4,602","5,519",917,19.9%,182,,
Pelham Pkwy (5),,Bx,"3,083","3,225","1,427","1,591","1,946","2,014",68,3.5%,359,,
"Prospect Av (2,5)",,Bx,"7,038","6,936","3,258","3,618","4,065","4,136",71,1.7%,243,,
"Simpson St (2,5)",,Bx,"8,477","8,257","3,914","4,371","4,628","4,374",-254,-5.5%,226,,
St. Lawrence Ave. (6),,Bx,"4,040","4,077","2,002","2,229","2,541","2,590",49,1.9%,332,,
"Tremont Av (B,D)",,Bx,"10,398","9,769","4,543","4,843","4,882","4,238",-644,-13.2%,236,,
Van Cortlandt Park-242 St (1),,Bx,"7,742","7,330","3,215","3,681","4,480","4,695",215,4.8%,213,,
Wakefield-241 St (2),,Bx,"4,763","4,538","2,284","2,427","2,554","2,544",-10,-0.4%,337,,
"West Farms Sq-East Tremont Av (2,5)",,Bx,"6,866","6,741","3,006","3,389","3,568","3,202",-366,-10.3%,292,,
Westchester Sq-East Tremont Av (6),8,Bx,"6,097","6,113","2,770","3,157","3,528","2,685",-843,-23.9%,328,,
Whitlock Av (6),,Bx,"1,894","1,907",977,"1,087","1,241","1,250",9,0.7%,404,,
Woodlawn (4),,Bx,"6,937","6,680","3,031","3,542","3,757","4,228",471,12.5%,238,,
Zerega Av (6),,Bx,"2,629","2,676","1,188","1,331","1,621","1,760",139,8.5%,376,,
Brooklyn,,,,,,,,,,,,,
"15 St-Prospect Park (F,G)",,B,"6,136","6,324","2,133","2,686","3,751","4,292",541,14.4%,230,,
18 Av (D),,B,"6,136","6,218","2,703","3,036","3,949","4,279",330,8.3%,231,,
18 Av (F),,B,"3,947","3,667","1,750","2,016","2,361","2,531",170,7.2%,338,,
18 Av (N),9,B,"3,097","3,681","2,089","2,723","3,404","3,682",278,8.2%,269,,
20 Av (D),,B,"4,905","5,037","2,216","2,463","3,276","3,571",295,9.0%,277,,
20 Av (N),10,B,"3,514","3,692","1,551","1,992","2,710","3,018",308,11.4%,306,,
25 Av (D),,B,"5,083","4,877","1,940","2,152","2,776","3,031",255,9.2%,305,,
25 St (R),,B,"3,755","3,738","1,618","1,979","2,410","2,613",203,8.4%,330,,
"36 St (D,N,R)",,B,"13,493","13,342","6,008","7,507","9,822","10,764",942,9.6%,91,,
"4 Av (F,G)/9 St (R)",,B,"12,560","12,563","4,785","6,036","7,980","8,766",786,9.9%,115,,
45 St (R),,B,"7,205","7,755","3,371","4,180","5,078","5,886",808,15.9%,173,,
50 St (D),,B,"3,195","3,246","1,722","1,958","2,392","2,501",109,4.6%,341,,
53 St (R),,B,"7,565","8,812","4,286","4,985","5,912","6,384",472,8.0%,163,,
55 St (D),,B,"2,185","2,141","1,095","1,216","1,356","1,393",37,2.7%,400,,
"59 St (N,R)",,B,"12,301","11,240","5,158","6,938","8,385","9,087",702,8.4%,110,,
"7 Av (B,Q)",,B,"10,210","10,209","3,282","4,258","6,031","7,104","1,073",17.8%,146,,
"7 Av (F,G)",,B,"11,636","11,880","4,224","5,423","7,589","8,510",921,12.1%,123,,
71 St (D),,B,"5,607","5,499","2,280","2,500","3,203","3,396",193,6.0%,286,,
77 St (R),,B,"5,612","5,595","2,265","2,671","3,399","3,849",450,13.2%,258,,
79 St (D),,B,"6,177","6,225","2,605","3,095","4,065","4,252",187,4.6%,235,,
8 Av (N),,B,"11,474","11,608","4,296","5,346","7,162","7,895",733,10.2%,139,,
86 St. (N),11,B,"1,928","2,224","1,095","1,324","1,662","1,728",66,3.9%,379,,
86 St. (R),,B,"11,338","11,233","4,890","5,942","7,544","8,488",944,12.5%,124,,
9 Av (D),,B,"5,344","5,406","2,522","2,916","3,760","3,993",233,6.2%,248,,
Alabama Av (J),,B,"2,147","2,089","1,068","1,187","1,188","1,205",17,1.4%,406,,
Atlantic Av (L),,B,"1,842","1,593",772,929,"1,107","1,152",45,4.1%,409,,
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,"43,211","43,498","16,599","19,374","26,179","29,183","3,004",11.5%,19,,
Avenue H (Q),,B,"3,418","3,354","1,282","1,325","1,997","2,141",144,7.2%,354,,
Avenue I (F),12,B,"1,096","1,988",922,"1,050","1,285","1,359",74,5.8%,402,,
Avenue J (Q),,B,"6,058","5,826","2,565","3,063","3,618","3,809",191,5.3%,265,,
Avenue M (Q),,B,"6,001","5,678","2,503","3,085","3,734","3,987",253,6.8%,249,,
Avenue N (F),13,B,"2,087","2,961","1,389","1,528","1,891","2,120",229,12.1%,355,,
Avenue P (F),14,B,"1,710","2,463","1,165","1,316","1,671","1,888",217,13.0%,370,,
Avenue U (F),15,B,"1,042","1,838",863,987,"1,173","1,385",212,18.1%,401,,
Avenue U (N),16,B,"2,627","3,156","1,530","2,005","2,467","2,725",258,10.4%,325,,
Avenue U (Q),,B,"7,323","7,262","3,077","3,698","4,525","5,055",530,11.7%,198,,
Avenue X (F),,B,"2,662","2,530","1,173","1,256","1,561","1,744",183,11.7%,378,,
Bay 50 St (D),,B,"2,674","2,662","1,117","1,384","1,830","1,865",35,1.9%,372,,
Bay Pkwy (D),,B,"7,719","7,723","3,419","3,795","4,942","5,472",530,10.7%,183,,
Bay Pkwy (F),17,B,623,"1,193",576,684,869,986,117,13.4%,413,,
Bay Pkwy (N),,B,"7,261","6,565","2,881","3,644","4,634","4,977",343,7.4%,205,,
Bay Ridge Av (R),,B,"7,236","7,677","3,243","3,918","5,003","5,690",687,13.7%,178,,
Bay Ridge-95 St (R),,B,"5,812","5,847","2,418","2,716","3,421","3,829",408,11.9%,263,,
Bedford Av (L),,B,"26,603","25,158","8,679","13,543","20,035","23,653","3,618",18.1%,25,,
Bedford-Nostrand Avs (G),,B,"8,821","8,866","3,289","4,224","5,536","6,027",491,8.9%,172,,
"Bergen St (2,3)",,B,"3,653","3,857","1,326","1,621","2,416","3,009",593,24.6%,308,,
"Bergen St (F,G)",,B,"11,174","11,310","3,865","5,011","7,145","8,349","1,204",16.8%,129,,
Beverley Rd (Q),,B,"3,350","3,410","1,435","1,732","2,336","2,528",192,8.2%,339,,
"Beverly Rd (2,5)",,B,"4,255","4,277","1,947","2,213","2,812","3,044",232,8.2%,304,,
"Brighton Beach (B,Q)",,B,"12,065","11,841","5,192","5,990","7,177","8,299","1,122",15.6%,132,,
Broadway (G),,B,"4,467","4,639","2,210","2,658","3,130","3,420",290,9.3%,285,,
"Broadway Junction (A,C,J,L,Z)",,B,"8,142","7,813","3,787","3,882","4,340","4,905",565,13.0%,208,,
Bushwick Av-Aberdeen St (L),,B,"2,079","2,015",948,"1,257","1,573","1,726",153,9.7%,380,,
Canarsie-Rockaway Pkwy (L),,B,"11,947","11,060","4,376","3,582","3,672","2,894",-778,-21.2%,312,,
"Carroll St (F,G)",,B,"11,562","11,814","4,068","5,152","7,196","8,432","1,236",17.2%,125,,
Central Av (M),18,B,"2,393","4,473","1,813","2,013","2,623","2,711",88,3.4%,326,,
"Chauncey St (J,Z)",,B,"3,387","3,246","1,436","1,618","1,799","1,895",96,5.3%,368,,
"Church Av (2,5)",,B,"9,193","9,556","4,270","4,906","5,968","6,201",233,3.9%,166,,
"Church Av (B,Q)",,B,"16,528","16,251","7,029","8,066","9,783","10,537",754,7.7%,95,,
"Church Av (F,G)",19,B,"9,492","9,395","4,145","4,910","6,004","6,312",308,5.1%,165,,
"Clark St (2,3)",,B,"5,275","5,590","1,741","1,887","2,414","4,481","2,067",85.7%,223,,
Classon Av (G),,B,"5,301","5,453","2,070","2,766","3,760","4,141",381,10.1%,241,,
Cleveland St (J),,B,"2,975","2,935","1,381","1,448","1,480","1,422",-58,-3.9%,397,,
Clinton-Washington Avs (C),,B,"7,068","7,139","2,341","2,868","4,233","4,998",765,18.1%,202,,
Clinton-Washington Avs (G),,B,"5,025","5,208","1,810","2,487","3,462","3,968",506,14.6%,252,,
"Coney Island-Stillwell Av (D,F,N,Q)",,B,"13,203","12,819","5,496","6,607","8,261","9,353","1,092",13.2%,108,,
Cortelyou Rd (Q),,B,"6,276","6,319","2,624","3,114","3,860","4,098",238,6.2%,245,,
"Court St (R)/Borough Hall (2,3,4,5)",,B,"35,599","34,939","11,425","12,377","17,809","20,372","2,563",14.4%,32,,
"Crescent St (J,Z)",,B,"4,539","4,463","2,138","2,321","2,416","2,360",-56,-2.3%,347,,
"Crown Heights-Utica Av (3,4)",,B,"25,336","25,331","11,675","12,614","14,663","16,318","1,655",11.3%,52,,
Cypress Hills (J),,B,"1,457","1,474",715,819,895,"1,016",121,13.6%,412,,
"DeKalb Av (B,Q,R)",,B,"22,069","22,000","7,782","8,949","12,424","13,759","1,335",10.7%,65,,
DeKalb Av (L),,B,"12,638","11,214","5,017","6,526","7,710","8,574",864,11.2%,119,,
Ditmas Av (F),,B,"3,904","3,947","1,900","2,222","2,751","3,007",256,9.3%,309,,
East 105 St (L),,B,"3,798","3,367","1,605","1,634","1,837","2,031",194,10.5%,357,,
"Eastern Pkwy-Brooklyn Museum (2,3)",,B,"4,637","4,036","1,292","1,946","2,692","3,198",506,18.8%,293,,
"Euclid Av (A,C)",,B,"10,191","10,119","4,771","4,919","5,612","6,777","1,165",20.8%,155,,
"Flatbush Av-Brooklyn College (2,5)",,B,"19,763","19,572","7,894","8,442","10,962","11,967","1,005",9.2%,78,,
Flushing Av (G),,B,"2,949","2,466","1,330","1,837","2,082","2,416",334,16.0%,346,,
"Flushing Av (J,M)",,B,"8,336","8,623","3,939","4,426","4,834","5,217",383,7.9%,192,,
Fort Hamilton Pkwy (D),,B,"3,936","3,983","2,008","2,387","2,855","2,866",11,0.4%,314,,
"Fort Hamilton Pkwy (F,G)",,B,"5,807","5,877","2,015","2,628","3,724","4,259",535,14.4%,232,,
Fort Hamilton Pkwy (N),20,B,"3,232","4,468","2,469","3,130","4,327","4,893",566,13.1%,210,,
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,"14,581","15,412","5,743","6,534","8,741","10,092","1,351",15.5%,100,,
"Franklin Av (C,S)",,B,"6,358","6,234","2,391","2,624","3,289","3,667",378,11.5%,270,,
Fulton St (G),,B,"5,462","5,416","2,235","2,961","4,105","4,656",551,13.4%,215,,
"Gates Av (J,Z)",,B,"7,255","7,095","2,951","3,476","4,186","4,512",326,7.8%,221,,
Graham Av (L),,B,"9,959","9,346","3,434","4,518","6,050","6,732",682,11.3%,156,,
"Grand Army Plaza (2,3)",,B,"7,188","7,349","2,504","3,053","4,351","5,055",704,16.2%,198,,
Grand St (L),,B,"6,964","6,409","2,708","3,536","4,532","4,744",212,4.7%,211,,
Grant Av (A),,B,"5,896","5,710","2,586","2,715","3,346","3,839",493,14.7%,262,,
Greenpoint Av (G),,B,"9,509","10,006","4,113","5,296","6,800","7,672",872,12.8%,140,,
Halsey St (J),,B,"6,579","6,522","2,645","2,927","3,484","3,847",363,10.4%,259,,
Halsey St (L),,B,"8,386","7,391","3,279","4,042","4,910","5,434",524,10.7%,185,,
"Hewes St (J,M)",,B,"2,782","3,281","1,401","1,572","1,765","1,849",84,4.8%,373,,
"High St (A,C)",,B,"10,281","10,776","3,136","4,085","6,486","6,859",373,5.7%,153,,
"Hoyt St (2,3)",,B,"6,938","7,467","2,765","3,256","4,327","5,087",760,17.6%,196,,
"Hoyt-Schermerhorn Sts (A,C,G)",,B,"10,540","11,238","4,401","5,261","7,018","8,428","1,410",20.1%,126,,
"Jay St-MetroTech (A,C,F,R)",,B,"42,274","41,455","13,385","14,340","21,319","24,204","2,885",13.5%,24,,
Jefferson St (L),,B,"7,674","7,221","2,879","3,802","5,100","5,875",775,15.2%,174,,
Junius St (3),,B,"2,080","2,216","1,093","1,156","1,452","1,567",115,7.9%,392,,
"Kings Hwy (B,Q)",,B,"19,569","19,745","8,454","10,331","12,857","14,143","1,286",10.0%,61,,
Kings Hwy (F),,B,"4,567","3,724","1,708","1,864","2,250","2,422",172,7.6%,345,,
Kings Hwy (N),21,B,"3,328","4,363","2,115","2,720","3,485","3,873",388,11.1%,256,,
Kingston Av (3),,B,"4,623","4,697","1,958","2,353","2,892","3,233",341,11.8%,289,,
Kingston-Throop Avs (C),,B,"6,585","6,643","2,473","2,891","3,952","4,470",518,13.1%,224,,
Knickerbocker Av (M),22,B,"2,446","4,522","1,978","2,204","2,642","2,814",172,6.5%,319,,
Kosciuszko St (J),,B,"6,144","5,562","2,220","2,649","3,295","3,643",348,10.6%,272,,
Lafayette Av (C),,B,"4,889","4,928","1,860","2,350","3,266","3,711",445,13.6%,268,,
Liberty Av (C),,B,"2,754","2,749","1,238","1,307","1,558","1,661",103,6.6%,383,,
Livonia Av (L),,B,"3,209","2,831","1,467","1,317","1,741","1,919",178,10.2%,364,,
"Lorimer St (J,M)",,B,"4,837","5,216","2,170","2,361","2,638","2,792",154,5.8%,320,,
Lorimer St (L)/Metropolitan Av (G),,B,"14,299","13,985","5,150","6,893","9,444","10,951","1,507",16.0%,90,,
"Marcy Av (J,M,Z)",,B,"13,315","14,255","5,628","6,476","7,896","8,867",971,12.3%,113,,
Montrose Av (L),,B,"6,884","6,515","2,661","3,512","4,507","4,979",472,10.5%,204,,
Morgan Av (L),,B,"7,510","6,944","2,732","3,532","4,638","5,220",582,12.6%,191,,
"Myrtle Av (J,M,Z)",,B,"12,122","11,970","4,821","5,348","6,723","8,209","1,486",22.1%,134,,
Myrtle-Willoughby Avs (G),,B,"5,736","5,919","2,473","2,955","3,810","3,977",167,4.4%,251,,
"Myrtle-Wyckoff Avs (L,M)",,B,"21,241","18,735","8,404","10,038","13,075","15,276","2,201",16.8%,56,,
Nassau Av (G),,B,"9,312","9,841","3,691","4,647","6,001","6,888",887,14.8%,152,,
Neck Rd (Q),,B,"4,405","4,401","1,834","2,077","2,696","3,098",402,14.9%,300,,
Neptune Av (F),,B,"1,516","1,456",652,777,"1,042","1,178",136,13.0%,407,,
"Nevins St (2,3,4,5)",,B,"10,426","10,205","3,824","4,164","5,526","6,665","1,139",20.6%,159,,
New Lots Av (3),,B,"5,573","5,454","2,554","2,652","3,096","3,495",399,12.9%,281,,
New Lots Av (L),,B,"4,869","4,168","2,020","2,209","2,364","2,307",-57,-2.4%,350,,
New Utrecht Av (N)/62 St (D),23,B,"4,673","4,736","2,264","2,814","3,403","3,765",362,10.6%,266,,
"Newkirk Av (2,5)",,B,"7,312","7,182","3,286","3,697","4,469","4,638",169,3.8%,216,,
"Newkirk Plaza (B,Q)",,B,"10,534","10,514","4,380","5,305","6,552","7,134",582,8.9%,145,,
"Norwood Av (J,Z)",,B,"3,190","3,156","1,447","1,522","1,631","1,508",-123,-7.5%,394,,
Nostrand Av (3),,B,"3,907","4,195","1,568","1,846","2,295","2,512",217,9.5%,340,,
"Nostrand Av (A,C)",,B,"17,437","17,352","6,687","8,121","10,428","11,753","1,325",12.7%,80,,
Ocean Pkwy (Q),,B,"3,199","3,242","1,434","1,671","2,082","2,315",233,11.2%,349,,
Park Pl (S),,B,"1,725","1,676",682,804,"1,023","1,090",67,6.6%,410,,
Parkside Av (Q),,B,"6,050","6,173","2,652","3,159","3,795","4,102",307,8.1%,244,,
Pennsylvania Av (3),,B,"4,331","4,493","2,087","2,294","2,610","2,818",208,8.0%,317,,
"President St (2,5)",,B,"4,019","3,558","1,444","1,818","2,313","2,450",137,5.9%,343,,
Prospect Av (R),,B,"5,523","5,967","2,222","2,828","3,795","4,237",442,11.6%,237,,
"Prospect Park (B,Q,S)",,B,"10,059","10,152","3,902","4,765","6,065","6,489",424,7.0%,161,,
Ralph Av (C),,B,"5,768","5,730","2,525","2,713","3,179","3,356",177,5.6%,287,,
Rockaway Av (3),,B,"4,747","4,780","2,294","2,467","2,703","2,751",48,1.8%,323,,
Rockaway Av (C),,B,"5,667","5,653","2,434","2,628","3,174","3,433",259,8.2%,283,,
Saratoga Av (3),,B,"5,246","5,238","2,547","2,760","3,088","3,122",34,1.1%,295,,
"Sheepshead Bay (B,Q)",,B,"13,946","13,908","5,830","6,693","8,410","9,420","1,010",12.0%,107,,
Shepherd Av (C),,B,"3,182","3,153","1,436","1,511","1,773","1,831",58,3.2%,374,,
"Smith-9 Sts (F,G)",,B,"4,689","4,553","1,921","2,243","2,835","3,084",249,8.8%,301,,
"Sterling St. (2,5)",,B,"5,684","5,468","2,371","2,879","3,626","3,910",284,7.8%,254,,
Sutter Av (L),,B,"4,029","3,446","1,583","1,713","1,679","1,585",-94,-5.6%,390,,
Sutter Av-Rutland Rd (3),,B,"6,657","6,724","3,178","3,422","3,931","4,178",247,6.3%,239,,
Union St (R),,B,"6,835","7,375","2,582","3,348","4,465","5,142",677,15.2%,195,,
"Utica Av (A,C)",,B,"16,121","15,957","6,473","6,989","8,338","9,083",745,8.9%,111,,
Van Siclen Av (3),,B,"2,904","2,833","1,314","1,335","1,575","1,616",41,2.6%,387,,
